"publication_ID","relatedItem_1_titleInfo_title","identifier_#text","state","year","volume","number","titleInfo_title"
"38064860","PEA Journal","bta_38064860_SC_1966_17_01","SC","1966","17","01","Vol.17, No.1"
,"PEA Journal",,,,,,"Vol.9, No.4"
"38064860","PEA Journal","bta_38064860_SC_1961_11_05","SC","1961","11","05","Nov.11, No.5"
"16508890","The Herald","bta_16508890_GA_1957_024_001","GA","1957","024","001","Vol. 24, No. 1"
"16508890","The Herald","bta_16508890_GA_1949_016_002","GA","1949","016","002","Vol. 16, No. 2"
"16508890","The Herald","bta_16508890_GA_1951_019_001","GA","1951","019","001","Vol. 19, No. 1"
"16508890","The Herald","bta_16508890_GA_1955_023_001","GA","1955","023","001","Vol. 23, No. 1"
"16508890","The Herald","bta_16508890_GA_1951_019_002","GA","1951","019","002","Vol. 19, No. 2"
"16508890","The Herald","bta_16508890_GA_1950_016_003","GA","1950","016","003","Vol. 16, No. 3"
"16508890","The Herald","bta_16508890_GA_1957_023_008","GA","1957","023","008","Vol. 23, No. 8"
"16508890","The Herald","bta_16508890_GA_1952_020_001","GA","1952","020","001","Vol. 20, No. 1"
"16508890","The Herald","bta_16508890_GA_1959_025_004","GA","1959","025","004","Vol. 25, No. 4"
"16508890","The Herald","bta_16508890_GA_1953_021_002","GA","1953","021","002","Vol. 21, No. 2"
"16508890","The Herald","bta_16508890_GA_1958_024_003_convention","GA","1958","024","003","Vol. 34, No. 3"
"16508890","The Herald","bta_16508890_GA_1959_026_006","GA","1959","026","006","Vol. 26, No. 6"
"16508890","The Herald","bta_16508890_GA_1948_015_001","GA","1948","015","001","Vol. 15, No. 1"
"16508890","The Herald","bta_16508890_GA_1959_026_005","GA","1959","026","005","Vol. 26, No. 5"
"16508890","The Herald","bta_16508890_GA_1958_024_002","GA","1958","024","002","Vol. 24, No. 2"
"16508890","The Herald","bta_16508890_GA_1954_021_003","GA","1954","021","003","Vol. 21, No. 3"
"16508890","The Herald","bta_16508890_GA_1952_020_002","GA","1952","020","002","Vol. 20, No. 2"
"16508890","The Herald","bta_16508890_GA_1954_021_004","GA","1954","021","004","Vol. 21, No. 4"
"16508890","The Herald","bta_16508890_GA_1948_015_002","GA","1948","015","002","Vol. 15, No. 2"
"16508890","The Herald","bta_16508890_GA_1959_025_003","GA","1959","025","003","Vol. 25, No. 3"
"16508890","The Herald","bta_16508890_GA_1949_015_003","GA","1949","015","003","Vol. 15, No. 3"
"16508890","The Herald","bta_16508890_GA_1949_015_004","GA","1949","015","004","Vol. 15, No. 4"
"16508890","The Herald","bta_16508890_GA_1966_033_001","GA","1966","033","001","Vol. 33, No. 1"
"16508890","The Herald","bta_16508890_GA_1950_016_004","GA","1950","016","004","Vol. 16, No. 4"
"16508890","The Herald","bta_16508890_GA_1955_022_003","GA","1955","022","003","Vol. 22, No. 3"
"16508890","The Herald","bta_16508890_GA_1952_019_003","GA","1952","019","003","Vol. 19, No. 3"
"16508890","The Herald","bta_16508890_GA_1952_019_004","GA","1952","019","004","Vol. 19, No. 4"
"16508890","The Herald","bta_16508890_GA_1955_022_004","GA","1955","022","004","Vol. 22, No. 4"
"16508890","The Herald","bta_16508890_GA_1966_032_004","GA","1966","032","004","Vol. 32, No. 4"
"16508890","The Herald","bta_16508890_GA_1962_029_001","GA","1962","029","001","Vol. 29, No. 1"
"16508890","The Herald","bta_16508890_GA_1941_007_002","GA","1941","007","002","Vol. 7, No. 2"
"16508890","The Herald","bta_16508890_GA_1938_004_003","GA","1938","004","003","Vol. 4, No. 3"
"16508890","The Herald","bta_16508890_GA_1938_004_002","GA","1938","004","002","Vol. 4, No. 2"
"16508890","The Herald","bta_16508890_GA_1939_006_001","GA","1939","006","001","Vol. 6, No. 1"
"16508890","The Herald","bta_16508890_GA_1930_002_002","GA","1930","002","002","Vol. 2, No. 2"
"16508890","The Herald","bta_16508890_GA_1932_002_007","GA","1932","002","007","Vol. 2, No. 7"
"16508890","The Herald","bta_16508890_GA_1939_005_001","GA","1939","005","001","Vol. 5, No. 1"
"16508890","The Herald","bta_16508890_GA_1937_004_001","GA","1937","004","001","Vol. 4, No.1"
